label	depth_in_core_cm	yearmax	yearmin	y_bp	yearmean	episode	derep	initial
CGG3017420	42.5	1921	1884	1908	1906	(VI)	346657611	441447177
CGG3017408	24.5	1969	1932	1950	1950	(VI)	277122419	371825093
CGG3016664	240.2	381	194	293	293	(I)	207092146	354425182
CGG3016662	237.2	420	229	330	332	(I)	296003975	380028156
CGG3016656	228.2	814	550	705	697	(II)	477587530	571214321
CGG3016635	197.9	1028	952	984	986	(III)	182104620	306422384
CGG3017396	8.5	2026	1987	2008	2007	(VI)	431290398	483819648
CGG3016649	217.9	917	885	900	900	(III)	264876694	317609028
CGG3016628	187.8	1082	986	1030	1031	(III)	204563393	274667772
CGG3017417	38	1935	1902	1921	1920	(VI)	375402036	451909783
CGG3016643	209.2	957	919	936	937	(III)	180572691	311653745
CGG3016670	249.2	295	108	206	206	(I)	237915026	336150475
CGG3016645	212.3	936	911	923	923	(III)	216787434	316221432
CGG3016666	242.9	354	172.5	268.5	268.5	(I)	224221578	302071936
CGG3016637	200.7	1013	943	973	974	(III)	168854396	258793772
CGG3017414	33.5	1947	1911	1930	1930	(VI)	228508755	349058597
CGG3017497	146.5	1305	1233	1260	1262	(IV)	156451561	297590658
CGG3016660	234.2	622	320	445	453	(I)	227900263	334341804
CGG3016654	225.5	862	726	815	809	(II)	256780114	345091847
CGG3017508	162	1207	1138	1176	1175	(III)	177671233	257820066
CGG3016653	223.8	875	816	858	855	(II)	395252776	497028250
CGG3017453	87	1751	1627	1692	1692	(IV)	357781996	463872392
CGG3016647	215.1	926	895	912	911	(III)	191940598	355121344
CGG3017411	29	1960	1922	1942	1941	(VI)	323715301	462111636
CGG3017431	57.25	1877	1780	1835	1834	(V)	230116285	394541900
CGG3016658	231.2	735	415	573	573	(I)	283843800	349925933
CGG3017464	101.5	1677	1558	1621	1620	(IV)	269387310	421029739
CGG3017392	2.5	2033	2005	2018	2018	(VI)	426438455	483840281
CGG3017402	16.5	1987	1957	1969	1970	(VI)	317147482	398856395
CGG3017399	12.5	2010	1972	1990	1990	(VI)	349753804	424248862
CGG3016617	171.9	1151	1060	1105	1105	(III)	86269971	149087703
CGG3017475	116.5	1529	1459	1490	1490	(IV)	371169604	480125142
CGG3017486	130.75	1432	1341.5	1403.5	1401.5	(IV)	200130910	321903161
CGG3016641	206.3	979	927	949	950	(III)	190545439	294741955
CGG3017442	72.5	1819	1703	1766	1765	(V)	292720931	383529988
CGG3016652	222.3	896	877	883	884	(III)	220523999	346308082
CGG3016651	220.7	903	879	889	890	(III)	277814645	388352104
CGG3017405	20.5	1979	1942	1959.5	1960	(VI)	290646539	391128396
CGG3016639	203.6	996	935	961	962	(III)	227772175	307091952
CGG3016668	246.2	319	141	237	237	(I)	259141990	369826471
CGG3017493	140.5	1363	1263	1312	1312	(IV)	218978474	287076850
CGG3017479	121.5	1498	1413	1461	1460	(IV)	142936572	227033502
CGG3017468	107	1648	1538	1600	1597	(IV)	245453057	348266195
CGG3017487	132	1422	1332	1391	1389	(IV)	118060485	244784781
CGG3017449	81.5	1779	1651	1718	1717	(V)	315376930	390211840
CGG3017446	77.5	1796	1673	1737	1736	(V)	307053028	390740644
CGG3017427	52	1895	1810	1862	1860	(VI)	315162676	421548508
CGG3017423	46.5	1911	1856	1890	1888	(VI)	256854189	341557471
CGG3017488	133.5	1416	1319	1378	1375	(IV)	305266737	404723210
CGG3017485	129.5	1438	1350	1413	1411	(IV)	149426636	316715403
CGG3016631	191.9	1061	971	1011	1013	(III)	148519118	265070101
CGG3017501	152	1239	1204	1220	1221	(III)	103213508	206360255
CGG3016625	183.5	1103	1005	1050	1051	(III)	227467034	308728475
CGG3017504	156.75	1225	1168	1201	1200	(III)	91225242	202826191
CGG3017512	168	1188	1107	1151	1150	(III)	88872694	228251758
CGG3017460	96.5	1704	1580	1645	1645	(IV)	189193370	314395322
CGG3017472	112	1584	1513	1566	1560	(IV)	264681570	360156948
CGG3017484	128	1448	1359	1422	1420	(IV)	231236812	331552697
CGG3016621	177.9	1127	1031	1077	1077	(III)	158000086	254098326
CGG3017439	68	1835	1722	1783	1782	(V)	250806378	352747784
CGG3017456	91	1729	1606	1670	1670	(IV)	148429051	302977781
CGG3017435	62.5	1855	1750	1808	1806	(V)	241398039	347845528
