run_accession	biome_class	biome_subclass	biome	accession	sample_accession	sample_name	longitude	latitude	geo_loc_name	geo_loc_name_1	studies	sample_desc	environment_biome	environment_feature	environment_material	study_accession	experiment_accession	read_count	instrument_model	instrument_platform	library_layout	library_strategy	library_selection	library_source	fastq_ftp	query_biome
SRR5468383	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2139096	SAMN06266263	Gp0125834	-123.9409	46.2024	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003643	Estuarine microbial communities from the Columbia River estuary - metaG 1555A-02		NA	NA	PRJNA365247	SRX2753737	15215583	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/003/SRR5468383/SRR5468383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/003/SRR5468383/SRR5468383_2.fastq.gz	root:Environmental:Aquatic:Estuary
SRR5468380	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2139093	SAMN06265205	Gp0125832	-123.9409	46.2024	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003527	Estuarine microbial communities from the Columbia River estuary - metaG 1555B-3		NA	NA	PRJNA365245	SRX2753734	15585292	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/000/SRR5468380/SRR5468380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/000/SRR5468380/SRR5468380_2.fastq.gz	root:Environmental:Aquatic:Estuary
SRR5468375	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2139089	SAMN06267193	Gp0125825	-123.8835	46.1867	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003525	Estuarine microbial communities from the Columbia River estuary - metaG 1553A-3		NA	NA	PRJNA367307	SRX2753730	12432731	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/005/SRR5468375/SRR5468375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/005/SRR5468375/SRR5468375_2.fastq.gz	root:Environmental:Aquatic:Estuary
SRR5468250	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2138966	SAMN06267160	Gp0125792	-123.9167	46.2342	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003402	Estuarine microbial communities from the Columbia River estuary - metaG 1371B-02		NA	NA	PRJNA367274	SRX2753605	17486426	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/000/SRR5468250/SRR5468250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/000/SRR5468250/SRR5468250_2.fastq.gz	root:Environmental:Aquatic:Estuary
SRR5468257	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2138973	SAMN06267163	Gp0125795	-123.9168	46.2327	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003405	Estuarine microbial communities from the Columbia River estuary - metaG 1449C-3		NA	NA	PRJNA367277	SRX2753612	16064554	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/007/SRR5468257/SRR5468257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/007/SRR5468257/SRR5468257_2.fastq.gz	root:Environmental:Aquatic:Estuary
SRR5468251	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2138967	SAMN06267156	Gp0125787	-123.9135	46.234	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00004741	Estuarine microbial communities from the Columbia River estuary - metaG 1370A-02		NA	NA	PRJNA367270	SRX2753606	17817478	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/001/SRR5468251/SRR5468251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/001/SRR5468251/SRR5468251_2.fastq.gz	root:Environmental:Aquatic:Estuary
SRR5468252	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2138968	SAMN06267155	Gp0125786	-123.9135	46.234	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003403	Estuarine microbial communities from the Columbia River estuary - metaG 1370B-3		NA	NA	PRJNA367269	SRX2753607	15096742	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/002/SRR5468252/SRR5468252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/002/SRR5468252/SRR5468252_2.fastq.gz	root:Environmental:Aquatic:Estuary
SRR5468368	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2139081	SAMN06267186	Gp0125818	-123.878	46.2328	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00004742	Estuarine microbial communities from the Columbia River estuary - metaG 1550B-3		NA	NA	PRJNA367300	SRX2753722	15158147	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/008/SRR5468368/SRR5468368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/008/SRR5468368/SRR5468368_2.fastq.gz	root:Environmental:Aquatic:Estuary
SRR5468229	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2138945	SAMN06267346	Gp0125785	-123.9135	46.234	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00003401	Estuarine microbial communities from the Columbia River estuary - metaG 1370A-3		NA	NA	PRJNA367268	SRX2753584	14605967	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/009/SRR5468229/SRR5468229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/009/SRR5468229/SRR5468229_2.fastq.gz	root:Environmental:Aquatic:Estuary
SRR5468256	root:Environmental:Aquatic:Marine	root:Environmental:Aquatic:Estuary	root:Environmental:Aquatic:Estuary	SRS2138972	SAMN06267162	Gp0125794	-123.9168	46.2327	USA:Columbia River Estuary, USA	USA:Columbia River Estuary, USA	MGYS00004732	Estuarine microbial communities from the Columbia River estuary - metaG 1449B-3		NA	NA	PRJNA367276	SRX2753611	16447361	Illumina HiSeq 2500	ILLUMINA	PAIRED	WGS	RANDOM	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/006/SRR5468256/SRR5468256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR546/006/SRR5468256/SRR5468256_2.fastq.gz	root:Environmental:Aquatic:Estuary
